f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username
584;15;Pangkalan Berandan;7;user-PC;2151322
585;16;Langsa;7;Akademik;282240
586;17;Aekunsim;7;Akademik;282240
587;18;Sibabangun;7;mansur;282240
588;5;Labuan;2;Akademik;282240
589;4;Tumahe;13;Akademik;282240
590;4;Muarabulian;11;Akademik;282240
591;57;Songka;17;debrina;288632
592;19;Tarung-Tarung;7;Akademik;282240
593;9;Koto Tangah;20;Akademik;282240
594;5;Tanjung Pura;9;Akademik;282240
595;5;Jungkat;13;mansur;282240
596;5;Rohomoni;21;mansur;282240
597;22;Pardomuan Motong;7;Akademik;282240
598;6;Torganda;9;Akademik;282240
599;6;Pamanukan;2;Akademik;282240
600;16;Soe;19;Akademik;282240
601;24;Tamayang;11;Akademik;282240
602;23;Pagur;7;Akademik;282240
603;10;Pakan Senayan;8;Akademik;282240
604;24;Cubadak;7;Akademik;282240
605;7;Rantepao;17;Akademik;282240
606;8;Lewoleba;17;Akademik;282240
607;9;Tompoh;17;Akademik;282240
608;10;Parilangke;17;Akademik;282240
609;7;Gedung Wani;2;Akademik;282240
610;8;Bangil;5;Akademik;282240
611;25;Enggal Mulyo;12;debrina;288632
612;11;Tanjung Enim;8;Akademik;282240
613;12;Rumbai;8;Akademik;282240
614;7;Kabupaten Semarang;3;Akademik;282240
615;6;Banjar Baru;13;Akademik;282240
616;11;Plaju;12;Akademik;282240
617;2;Bintuhan;26;Akademik;282240
618;12;Simpang Sari;12;Akademik;282240
619;17;Maleku;19;Akademik;282240
620;8;Kabupaten Semarang;3;Akademik;282240
621;92;Padang Sibusuk;8;debrina;288632
622;22;Cepu;5;Akademik;282240
623;2;Banjarbaru;15;Akademik;282240
624;8;Rancaekek;2;Akademik;282240
625;13;Wayberulu;12;Akademik;282240
626;9;Ambarawa;5;Akademik;282240
627;9;Talaga;2;Akademik;282240
628;14;Tanjung Morawa;8;Akademik;282240
629;15;Labuhan Ruku;8;Akademik;282240
630;16;P. Siantar;8;Akademik;282240
631;25;Sicincin;7;Akademik;282240
632;14;Kuang Anyar;12;Akademik;282240
633;15;Waiwada;12;Akademik;282240
634;5;Mariana;11;Akademik;282240
635;11;Ganda Soppeng;17;Akademik;282240
636;12;Boneoge;17;Akademik;282240
637;13;Korowalelo;17;Akademik;282240
638;14;Maurole;17;Akademik;282240
639;15;Konawe;17;Akademik;282240
640;16;Tinggede;17;Akademik;282240
641;17;Karanganyar;17;Akademik;282240
642;5;Tanah Grogot;16;Akademik;282240
643;18;Ganra Soppeng;17;Akademik;282240
644;6;Werinama;21;Akademik;282240
645;7;Pakandangan;9;Akademik;282240
646;17;Padangsidimpuan;8;Akademik;282240
647;20;Siunggas Julu;7;Akademik;282240
648;26;Aek Kanopan;7;Akademik;282240
649;8;Ranai;9;Akademik;282240
650;59;Kotamobago;7;Akademik;282240
651;16;Telukbetung;12;Akademik;282240
652;17;Natar;12;Akademik;282240
653;18;Sangbua;19;Akademik;282240
654;27;Moutong;7;Akademik;282240
655;28;Astina;7;Akademik;282240
656;3;Wuasa;18;Akademik;282240
657;7;Sanana;21;Akademik;282240
658;19;Astina;17;Akademik;282240
659;20;Moutong;17;Akademik;282240
660;19;Parangloe;19;Akademik;282240
